fold,horizon_steps,method,condition,ramp_direction,n,coverage,undercoverage_error,mean_width,mean_interval_score
q2_2020,1,robust_local_cqr,combined_outage,down,182,0.7692307692307693,0.13076923076923075,19.34113883972168,34.73320007324219
q2_2020,1,robust_local_cqr,combined_outage,up,154,0.8181818181818182,0.08181818181818179,21.570404052734375,30.110815048217773
q2_2020,1,robust_local_cqr,irradiance_outage,down,182,0.5439560439560439,0.3560439560439561,12.658454895019531,44.27248764038086
q2_2020,1,robust_local_cqr,irradiance_outage,up,154,0.564935064935065,0.33506493506493507,14.698622703552246,35.06229019165039
q2_2020,1,robust_local_cqr,recent_power_outage,down,182,0.7802197802197802,0.1197802197802198,18.911001205444336,32.712440490722656
q2_2020,1,robust_local_cqr,recent_power_outage,up,154,0.9025974025974026,0.0,21.9492244720459,24.56511878967285
q2_2020,1,robust_local_cqr,weather_outage,down,182,0.4945054945054945,0.4054945054945055,11.794981956481934,45.41202163696289
q2_2020,1,robust_local_cqr,weather_outage,up,154,0.6363636363636364,0.26363636363636367,14.954992294311523,32.52684783935547
q2_2020,1,robust_risk_mondrian,clean,down,182,0.510989010989011,0.38901098901098907,11.59034538269043,47.129364013671875
q2_2020,1,robust_risk_mondrian,clean,up,154,0.5584415584415584,0.3415584415584416,13.90998363494873,32.84302520751953
q2_2020,1,robust_risk_mondrian,combined_outage,down,182,0.6813186813186813,0.21868131868131868,14.485276222229004,38.55335235595703
q2_2020,1,robust_risk_mondrian,combined_outage,up,154,0.6428571428571429,0.2571428571428571,15.276598930358887,32.5708122253418
q2_2020,1,robust_risk_mondrian,irradiance_outage,down,182,0.5274725274725275,0.37252747252747254,12.307917594909668,46.7606086730957
q2_2020,1,robust_risk_mondrian,irradiance_outage,up,154,0.512987012987013,0.38701298701298703,13.724700927734375,36.68056869506836
