horizon_steps,threshold_fraction,method,condition,ramp_group,n,coverage,undercoverage_error,mean_width
4,0.25,robust_condition_cqr,clean,ramp,2055,0.6885644768856448,0.2114355231143552,11.454496383666992
4,0.25,robust_condition_cqr,combined_outage,non_ramp,21369,0.922878936777575,0.0,10.609540939331055
4,0.25,robust_condition_cqr,combined_outage,ramp,2055,0.7596107055961071,0.14038929440389292,14.642913818359375
4,0.25,robust_condition_cqr,irradiance_outage,non_ramp,21369,0.9241892461041696,0.0,8.856372833251953
4,0.25,robust_condition_cqr,irradiance_outage,ramp,2055,0.7386861313868613,0.16131386861313868,12.893132209777832
4,0.25,robust_condition_cqr,recent_power_outage,non_ramp,21369,0.915344658149656,0.0,9.659975051879883
4,0.25,robust_condition_cqr,recent_power_outage,ramp,2055,0.7523114355231143,0.14768856447688572,13.120356559753418
4,0.25,robust_condition_cqr,weather_outage,non_ramp,21369,0.9211006598343394,0.0,8.360689163208008
4,0.25,robust_condition_cqr,weather_outage,ramp,2055,0.683698296836983,0.216301703163017,12.122530937194824
4,0.25,robust_local_cqr,clean,non_ramp,21369,0.9440778698114091,0.0,9.5557861328125
4,0.25,robust_local_cqr,clean,ramp,2055,0.789294403892944,0.11070559610705599,13.776978492736816
4,0.25,robust_local_cqr,combined_outage,non_ramp,21369,0.9271374420890074,0.0,11.192567825317383
4,0.25,robust_local_cqr,combined_outage,ramp,2055,0.8335766423357664,0.06642335766423357,16.667856216430664
4,0.25,robust_local_cqr,irradiance_outage,non_ramp,21369,0.9458093499929805,0.0,10.187552452087402
4,0.25,robust_local_cqr,irradiance_outage,ramp,2055,0.8111922141119221,0.08880778588807792,15.015458106994629
4,0.25,robust_local_cqr,recent_power_outage,non_ramp,21369,0.9347185174785905,0.0,11.088950157165527
4,0.25,robust_local_cqr,recent_power_outage,ramp,2055,0.8379562043795621,0.062043795620437936,15.954307556152344
4,0.25,robust_local_cqr,weather_outage,non_ramp,21369,0.9474004398895597,0.0,9.817683219909668
4,0.25,robust_local_cqr,weather_outage,ramp,2055,0.7907542579075426,0.10924574209245741,14.617539405822754
4,0.25,robust_risk_mondrian,clean,non_ramp,21369,0.9378071037484206,0.0,9.01418399810791
4,0.25,robust_risk_mondrian,clean,ramp,2055,0.7669099756690998,0.13309002433090023,13.463264465332031
4,0.25,robust_risk_mondrian,combined_outage,non_ramp,21369,0.9225045626842623,0.0,10.829869270324707
4,0.25,robust_risk_mondrian,combined_outage,ramp,2055,0.8,0.09999999999999998,15.881179809570312
4,0.25,robust_risk_mondrian,irradiance_outage,non_ramp,21369,0.9391174130750152,0.0,9.579340934753418
4,0.25,robust_risk_mondrian,irradiance_outage,ramp,2055,0.8004866180048662,0.09951338199513382,15.054293632507324
4,0.25,robust_risk_mondrian,recent_power_outage,non_ramp,21369,0.9266226777107024,0.0,10.135200500488281
4,0.25,robust_risk_mondrian,recent_power_outage,ramp,2055,0.7980535279805353,0.10194647201946472,14.750629425048828
4,0.25,robust_risk_mondrian,weather_outage,non_ramp,21369,0.9402405353549534,0.0,9.212157249450684
4,0.25,robust_risk_mondrian,weather_outage,ramp,2055,0.7625304136253042,0.13746958637469586,13.995651245117188
4,0.25,robust_rolling_cqr,clean,non_ramp,21369,0.9275586129439842,0.0,8.446268081665039
4,0.25,robust_rolling_cqr,clean,ramp,2055,0.6939172749391728,0.20608272506082725,11.609217643737793
4,0.25,robust_rolling_cqr,combined_outage,non_ramp,21369,0.915297861387992,0.0,10.579398155212402
4,0.25,robust_rolling_cqr,combined_outage,ramp,2055,0.7221411192214112,0.1778588807785888,14.375090599060059
4,0.25,robust_rolling_cqr,irradiance_outage,non_ramp,21369,0.9269970518040151,0.0,9.005763053894043
4,0.25,robust_rolling_cqr,irradiance_outage,ramp,2055,0.7245742092457421,0.1754257907542579,12.75117301940918
4,0.25,robust_rolling_cqr,recent_power_outage,non_ramp,21369,0.9214282371659881,0.0,10.141986846923828
4,0.25,robust_rolling_cqr,recent_power_outage,ramp,2055,0.7469586374695864,0.15304136253041367,13.646766662597656
4,0.25,robust_rolling_cqr,weather_outage,non_ramp,21369,0.9292900931255557,0.0,8.630934715270996
4,0.25,robust_rolling_cqr,weather_outage,ramp,2055,0.6807785888077859,0.21922141119221417,12.208550453186035
